query,source,candidate_id,label,candidate_year,candidate_title,true_id,candidate_rank,candidate_author,query_author,journal,title_similarity,title_token_set_similarity,query_year,year_difference,first_author_similarity
Публичный договор как элемент защиты слабой стороны,cyberleninka,/article/n/publichnyy-dogovor-kak-element-zaschity-slaboy-storony,1,2012.0,Публичный договор как элемент защиты слабой стороны,/article/n/publichnyy-dogovor-kak-element-zaschity-slaboy-storony,1,Каширин Игорь Олегович,Каширин Игорь Олегович,Юридическая наука,100.0,100.0,,,100.0
Публичный договор как элемент защиты слабой стороны,cyberleninka,/article/n/sootnoshenie-publichnogo-dogovora-i-dogovora-prisoedineniya,0,2022.0,СООТНОШЕНИЕ ПУБЛИЧНОГО ДОГОВОРА И ДОГОВОРА ПРИСОЕДИНЕНИЯ,/article/n/publichnyy-dogovor-kak-element-zaschity-slaboy-storony,2,Рябикин Артём Александрович,Каширин Игорь Олегович,Скиф. Вопросы студенческой науки,9.345794392523366,8.163265306122454,,,24.489795918367353
Публичный договор как элемент защиты слабой стороны,cyberleninka,/article/n/publichnyy-dogovor-kak-institut-pravovogo-vozdeystviya-na-kommercheskuyu-deyatelnost-oslozhnennuyu-publichnym-interesom-problemy,0,2016.0,"ПУБЛИЧНЫЙ ДОГОВОР КАК ИНСТИТУТ ПРАВОВОГО ВОЗДЕЙСТВИЯ НА КОММЕРЧЕСКУЮ ДЕЯТЕЛЬНОСТЬ, ОСЛОЖНЕННУЮ ПУБЛИЧНЫМ ИНТЕРЕСОМ: ПРОБЛЕМЫ ЗАКОНОДАТЕЛЬНОЙ РЕГЛАМЕНТАЦИИ",/article/n/publichnyy-dogovor-kak-element-zaschity-slaboy-storony,3,Лесив Богдан Васильевич,Каширин Игорь Олегович,Science Time,5.853658536585371,5.853658536585371,,,40.0
Публичный договор как элемент защиты слабой стороны,cyberleninka,/article/n/neposredstvennoe-vozmeschenie-vreda-dolzhnostnymi-litsami-v-kontekste-mehanizma-osuschestvleniya-grazhdansko-pravovoy-zaschity,0,2015.0,Непосредственное возмещение вреда должностными лицами в контексте механизма осуществления гражданско-правовой защиты государством,/article/n/publichnyy-dogovor-kak-element-zaschity-slaboy-storony,4,Бабаков В. А.,Каширин Игорь Олегович,Ленинградский юридический журнал,30.000000000000004,34.44444444444444,,,22.857142857142854
Публичный договор как элемент защиты слабой стороны,cyberleninka,/article/n/problemy-obespecheniya-publichnogo-poryadka-v-dogovornyh-otnosheniyah-napravlennyh-na-udovletvorenie-massovyh-obschestvennyh,0,2017.0,"Проблемы обеспечения публичного порядка в договорных отношениях, направленных на удовлетворение массовых общественных потребностей",/article/n/publichnyy-dogovor-kak-element-zaschity-slaboy-storony,5,Медведева Наталья Михайловна,Каширин Игорь Олегович,Власть и управление на Востоке России,35.35911602209944,35.35911602209944,,,19.999999999999996
Публичный договор как элемент защиты слабой стороны,cyberleninka,/article/n/printsip-svobody-dogovora,0,2021.0,ПРИНЦИП СВОБОДЫ ДОГОВОРА,/article/n/publichnyy-dogovor-kak-element-zaschity-slaboy-storony,6,Солонецкая Евгения Максимовна,Каширин Игорь Олегович,"Наука, образование и культура",5.333333333333334,5.333333333333329,,,31.372549019607842
Публичный договор как элемент защиты слабой стороны,cyberleninka,/article/n/yuridicheskoe-obosnovanie-zaschity-slaboy-storony-v-dogovore,0,2013.0,Юридическое обоснование защиты слабой стороны в договоре,/article/n/publichnyy-dogovor-kak-element-zaschity-slaboy-storony,7,Ульянов Алексей Владимирович,Каширин Игорь Олегович,Журнал российского права,63.55140186915889,65.42056074766356,,,36.0
Публичный договор как элемент защиты слабой стороны,cyberleninka,/article/n/k-voprosu-o-printsipe-svobody-dogovora-i-ego-ogranichenii,0,2023.0,К ВОПРОСУ О ПРИНЦИПЕ СВОБОДЫ ДОГОВОРА И ЕГО ОГРАНИЧЕНИИ,/article/n/publichnyy-dogovor-kak-element-zaschity-slaboy-storony,8,Гимазов Д. Ф.,Каширин Игорь Олегович,Международный журнал гуманитарных и естественных наук,13.207547169811317,13.20754716981132,,,17.14285714285714
Публичный договор как элемент защиты слабой стороны,cyberleninka,/article/n/printsip-svobody-individualno-pravovogo-dogovora,0,2020.0,Принцип свободы индивидуально-правового договора,/article/n/publichnyy-dogovor-kak-element-zaschity-slaboy-storony,9,Шаганц Алина Альбертовна,Каширин Игорь Олегович,Юридическая техника,44.44444444444444,44.44444444444444,,,30.434782608695656
Публичный договор как элемент защиты слабой стороны,cyberleninka,/article/n/predely-dogovornoy-svobody-v-regulirovanii-otvetstvennosti-ekspeditora-konstitutsionno-pravovoy-aspekt,0,2026.0,Пределы договорной свободы в регулировании ответственности экспедитора: конституционно-правовой аспект,/article/n/publichnyy-dogovor-kak-element-zaschity-slaboy-storony,10,Ромашов П. А.,Каширин Игорь Олегович,Ex jure,37.908496732026144,37.908496732026144,,,28.57142857142857
