query,candidate_doi,label,candidate_year,candidate_title,crossref_score,true_doi,candidate_rank,candidate_author,query_author
DIISC-VI (COS-DIISC): Ultraviolet Metal Absorption Relative to the H <scp>i</scp> Disk of Galaxies Brad Koplitz 2025,10.3847/1538-4357/adb8ca,1,2025.0,DIISC-VI (COS-DIISC): Ultraviolet Metal Absorption Relative to the H <scp>i</scp> Disk of Galaxies,115.224724,10.3847/1538-4357/adb8ca,1,Brad Koplitz,
DIISC-VI (COS-DIISC): Ultraviolet Metal Absorption Relative to the H <scp>i</scp> Disk of Galaxies Brad Koplitz 2025,10.1111/ssm.18325,0,2026.0,"Measuring scientific classroom discourse: The
                    <i>
                      <scp>DiISC</scp>
                      Version 2.0
                    </i>
                    's validity and use in observing secondary science lessons",38.77932,10.3847/1538-4357/adb8ca,2,Elizabeth Lewis,
DIISC-VI (COS-DIISC): Ultraviolet Metal Absorption Relative to the H <scp>i</scp> Disk of Galaxies Brad Koplitz 2025,10.3847/1538-4357/ad029b,0,2024.0,DIISC-III. Signatures of Stellar Disk Growth in Nearby Galaxies,37.972904,10.3847/1538-4357/adb8ca,3,Mansi Padave,
DIISC-VI (COS-DIISC): Ultraviolet Metal Absorption Relative to the H <scp>i</scp> Disk of Galaxies Brad Koplitz 2025,10.1002/0471684228.egp03494,0,2004.0,"<scp>DNA</scp>
            , Ultraviolet Absorption",36.721592,10.3847/1538-4357/adb8ca,4,,
DIISC-VI (COS-DIISC): Ultraviolet Metal Absorption Relative to the H <scp>i</scp> Disk of Galaxies Brad Koplitz 2025,10.1002/9781394438143.ch31,0,2026.0,"Ultraviolet/Visible (
                    <scp>UV</scp>
                    /
                    <scp>VIS</scp>
                    ) Absorption Analyzers",36.314365,10.3847/1538-4357/adb8ca,5,,
DIISC-VI (COS-DIISC): Ultraviolet Metal Absorption Relative to the H <scp>i</scp> Disk of Galaxies Brad Koplitz 2025,10.3847/1538-4357/adce7b,0,2025.0,DIISC-V: Variations in H<i>α</i>-to-FUV Star Formation Rate Ratios Across Star-forming Regions in Nearby Galaxies,36.269543,10.3847/1538-4357/adb8ca,6,Mansi Padave,
DIISC-VI (COS-DIISC): Ultraviolet Metal Absorption Relative to the H <scp>i</scp> Disk of Galaxies Brad Koplitz 2025,10.3847/1538-4357/ac2c01,0,2021.0,DIISC-II: Unveiling the Connections between Star Formation and Interstellar Medium in the Extended Ultraviolet Disk of NGC 3344,35.308712,10.3847/1538-4357/adb8ca,7,Mansi Padave,
DIISC-VI (COS-DIISC): Ultraviolet Metal Absorption Relative to the H <scp>i</scp> Disk of Galaxies Brad Koplitz 2025,10.3847/1538-4357/ad8238,0,2024.0,DIISC-IV. DIISCovery of Anomalously Low Metallicity H ii Regions in NGC 99: Indirect Evidence of Gas Inflows,35.295204,10.3847/1538-4357/adb8ca,8,Alejandro J. Olvera,
DIISC-VI (COS-DIISC): Ultraviolet Metal Absorption Relative to the H <scp>i</scp> Disk of Galaxies Brad Koplitz 2025,10.3847/1538-4357/ae1b88,0,2026.0,"Kinematics of Circumgalactic O
                    <scp>vi</scp>
                    Gas and Disk Rotation of
                    <i>z</i>
                    ≈ 0.2 Star-forming Galaxies",34.130207,10.3847/1538-4357/adb8ca,9,Stephanie H. Ho,
DIISC-VI (COS-DIISC): Ultraviolet Metal Absorption Relative to the H <scp>i</scp> Disk of Galaxies Brad Koplitz 2025,10.3847/1538-4357/ae11aa,0,2025.0,"H
                    <scp>I</scp>
                    21 cm Absorption Associated with Foreground Galaxies on Top of Quasars",33.831898,10.3847/1538-4357/adb8ca,10,Labanya K. Guha,
Ways Of Depropriating Images Sónia Díaz 2025,10.12681/dac.39266,1,2025.0,Ways Of Depropriating Images,47.24243,10.12681/dac.39266,1,Sónia Díaz,
Ways Of Depropriating Images Sónia Díaz 2025,10.21747/1647-4058/eling14_1a1,0,2025.0,Entrevista à Professora Doutora Sónia Frota,20.04995,10.12681/dac.39266,2,,
Ways Of Depropriating Images Sónia Díaz 2025,10.35520/mulemba.2019.v11n20a23592,0,2019.0,Moçambique no feminino: as dimensões poéticas do corpo na poesia de Sónia Sultuane,19.161814,10.12681/dac.39266,3,Sávio Roberto Fonsêca de Freitas,
Ways Of Depropriating Images Sónia Díaz 2025,10.5040/9780755621798.ch-029,0,2016.0,After-Images of Empire,18.554684,10.12681/dac.39266,4,,
Ways Of Depropriating Images Sónia Díaz 2025,10.35520/mulemba.2024.v16n31e65364,0,2024.0,Dos encontros  poéticos na literatura moçambicana: relações intersemióticas entre Luís Bernardo Honwana e Sónia Sultuane,18.397041,10.12681/dac.39266,5,Sávio Roberto Fonsêca de Freitas,
Ways Of Depropriating Images Sónia Díaz 2025,10.21203/rs.3.rs-7694436/v1,0,2025.0,Accelerated Border Tracking in Binary Images with GPUs,18.271881,10.12681/dac.39266,6,Pedro Alonso-Jordá,
Ways Of Depropriating Images Sónia Díaz 2025,10.2307/359012,0,1994.0,"Women's Ways of Writing, or, Images, Self-Images, and Graven Images: Responses",18.161392,10.12681/dac.39266,7,James Moffett,
Ways Of Depropriating Images Sónia Díaz 2025,10.2307/359011,0,1994.0,"Women's Ways of Writing, or, Images, Self-Images, and Graven Images",18.098476,10.12681/dac.39266,8,C. Jan Swearingen,
Ways Of Depropriating Images Sónia Díaz 2025,10.52590/m3.p612.a30001094,0,2002.0,Adsorção do Violeta de Cristal em Areia,18.076601,10.12681/dac.39266,9,Sónia Sequeira,
Ways Of Depropriating Images Sónia Díaz 2025,10.2139/ssrn.5385412,0,2025.0,Health and Digital Health Literacy and Self-Rated Health in Migrants Residing in Portugal,17.981943,10.12681/dac.39266,10,Ana Sá Machado,
Substantiation of the anti-inflammatory effect of photodynamic therapy in periodontal diseases O.N. Risovannaya 2025,10.17116/rosstomat20251801140,1,2025.0,Substantiation of the anti-inflammatory effect of photodynamic therapy in periodontal diseases,72.00615,10.17116/rosstomat20251801140,1,O.N. Risovannaya,
Substantiation of the anti-inflammatory effect of photodynamic therapy in periodontal diseases O.N. Risovannaya 2025,10.37988/1811-153x_2019_1_28,0,2019.0,Clinical substantiation of complex application of antioxidants and laser therapy in treatment of periodontal diseases,42.97811,10.17116/rosstomat20251801140,2,Y.V. Maskurova,
Substantiation of the anti-inflammatory effect of photodynamic therapy in periodontal diseases O.N. Risovannaya 2025,10.26226/morressier.5ac383262afeeb00097a42a7,0,2018.0,Photodynamic therapy in periodontics.,39.789993,10.17116/rosstomat20251801140,3,Olga Risovannaya,
Substantiation of the anti-inflammatory effect of photodynamic therapy in periodontal diseases O.N. Risovannaya 2025,10.2174/221270380201160517190017,0,2016.0,Photodynamic Therapy and Periodontal Treatment,38.762688,10.17116/rosstomat20251801140,4,Pinar Gümüs,
Substantiation of the anti-inflammatory effect of photodynamic therapy in periodontal diseases O.N. Risovannaya 2025,10.1016/j.pdpdt.2025.104597,0,2025.0,Anti-inflammatory photodynamic activity of tetraphenyl-substituted porphyrin in J774.2 macrophage cells,36.15276,10.17116/rosstomat20251801140,5,Harika Topal Önal,
Substantiation of the anti-inflammatory effect of photodynamic therapy in periodontal diseases O.N. Risovannaya 2025,10.1016/j.pdpdt.2016.09.004,0,2016.0,Effect of photodynamic therapy and laser alone as adjunct to scaling and root planing on gingival crevicular fluid inflammatory proteins in periodontal disease: A systematic review,33.64208,10.17116/rosstomat20251801140,6,Zohaib Akram,
Substantiation of the anti-inflammatory effect of photodynamic therapy in periodontal diseases O.N. Risovannaya 2025,10.1016/j.pdpdt.2025.105112,0,2025.0,Enhanced Efficacy and Safety of Intra-Tissue Optical Fiber-Guided 5-Aminolevulinic Acid Photodynamic Therapy for Inflammatory Skin Diseases: Preclinical and Clinical Evidence,33.54391,10.17116/rosstomat20251801140,7,Wei Liu,
Substantiation of the anti-inflammatory effect of photodynamic therapy in periodontal diseases O.N. Risovannaya 2025,10.1016/j.pdpdt.2023.103362,0,2023.0,Effect of non-surgical periodontal therapy with adjunct photodynamic therapy on periodontal and glycemic statuses in prediabetic patients with periodontal disease,33.05179,10.17116/rosstomat20251801140,8,Bharathraj Shetty,
Substantiation of the anti-inflammatory effect of photodynamic therapy in periodontal diseases O.N. Risovannaya 2025,10.1016/j.pdpdt.2025.105071,0,2025.0,THE EFFECT AND MECHANISM OF PHOTODYNAMIC THERAPY IN ENHANCING ANTI-TUMOR IMMUNE RESPONSE IN GASTRIC CANCER,32.754852,10.17116/rosstomat20251801140,9,YANG YU,
Substantiation of the anti-inflammatory effect of photodynamic therapy in periodontal diseases O.N. Risovannaya 2025,10.1016/s1572-1000(12)70049-2,0,2012.0,48 Anti-inflammatory and bactericidal action of LED medolight device at treatment of dental diseases,32.419453,10.17116/rosstomat20251801140,10,S.A. Gulyar,
Fast motion detection from airborne videos using graphics processing unit Ben Ma 2012,10.1117/1.jrs.6.061505,1,2012.0,Fast motion detection from airborne videos using graphics processing unit,73.60914,10.1117/1.jrs.6.061505,1,Ben Ma,
Fast motion detection from airborne videos using graphics processing unit Ben Ma 2012,10.1117/1.jrs.6.061504,0,2012.0,Fast supervised hyperspectral band selection using graphics processing unit,36.206913,10.1117/1.jrs.6.061505,2,Qian Du,
Fast motion detection from airborne videos using graphics processing unit Ben Ma 2012,10.5220/0003123401190124,0,2011.0,EFFECTIVE AND ACCELERATED INFORMATIVE FRAME FILTERING IN COLONOSCOPY VIDEOS USING GRAPHICS PROCESSING UNIT,34.282005,10.1117/1.jrs.6.061505,3,,
Fast motion detection from airborne videos using graphics processing unit Ben Ma 2012,10.1109/mmsp.2012.6343435,0,2012.0,Motion robust rain detection and removal from videos,34.02363,10.1117/1.jrs.6.061505,4,Xinwei Xue,
Fast motion detection from airborne videos using graphics processing unit Ben Ma 2012,10.1109/ncvpripg.2015.7489940,0,2015.0,Real time saliency detection in videos using Motion Field entropy,34.00981,10.1117/1.jrs.6.061505,5,Krishna Reddy Konda,
Fast motion detection from airborne videos using graphics processing unit Ben Ma 2012,10.1109/pcspa.2010.27,0,2010.0,Fast Pedestrian Detection Using Slice-Based Motion Analysis,32.69727,10.1117/1.jrs.6.061505,6,Jingjing Yang,
Fast motion detection from airborne videos using graphics processing unit Ben Ma 2012,10.5815/ijigsp.2012.12.07,0,2012.0,Fast Width Detection in Corridor Using Hough Transform,32.691525,10.1117/1.jrs.6.061505,7,Mehrdad Javadi,
Fast motion detection from airborne videos using graphics processing unit Ben Ma 2012,10.1364/ofc.2010.otud7,0,2010.0,Fast Implementation of the Split-Step Fourier Method using a Graphics Processing Unit,32.644947,10.1117/1.jrs.6.061505,8,Stephan Hellerbrand,
Fast motion detection from airborne videos using graphics processing unit Ben Ma 2012,10.1109/ncvpripg.2011.31,0,2011.0,Interpolation Based Tracking for Fast Object Detection in Videos,32.313183,10.1117/1.jrs.6.061505,9,Rahul Jain,
Fast motion detection from airborne videos using graphics processing unit Ben Ma 2012,10.1109/jdt.2012.2219498,0,2012.0,Fast 3D Computational Integral Imaging Using Graphics Processing Unit,31.868855,10.1117/1.jrs.6.061505,10,Faliu Yi,
Clients’ perspectives of rehabilitation in one acquired brain injury residential rehabilitation unit: A thematic analysis Ian J. Gill 2012,10.3109/02699052.2012.661118,1,2012.0,Clients’ perspectives of rehabilitation in one acquired brain injury residential rehabilitation unit: A thematic analysis,95.1301,10.3109/02699052.2012.661118,1,Ian J. Gill,
Clients’ perspectives of rehabilitation in one acquired brain injury residential rehabilitation unit: A thematic analysis Ian J. Gill 2012,10.4324/9780203712283-9,0,2018.0,Support Persons’ Perceptions of Giving Vocational Rehabilitation Support to Clients With Acquired Brain Injury in Sweden,49.926838,10.3109/02699052.2012.661118,2,Marie Matérne,
Clients’ perspectives of rehabilitation in one acquired brain injury residential rehabilitation unit: A thematic analysis Ian J. Gill 2012,10.1007/978-3-030-16613-7_9,0,2019.0,"Rehabilitation of Speech, Language, and Swallowing Disorders in Clients with Acquired Brain Injury",49.79876,10.3109/02699052.2012.661118,3,Deena Henderson,
Clients’ perspectives of rehabilitation in one acquired brain injury residential rehabilitation unit: A thematic analysis Ian J. Gill 2012,10.14264/uql.2018.774,0,,Client-centred goal setting in the rehabilitation of community dwelling clients with acquired brain injury,49.034664,10.3109/02699052.2012.661118,4,Sarah Prescott,
Clients’ perspectives of rehabilitation in one acquired brain injury residential rehabilitation unit: A thematic analysis Ian J. Gill 2012,10.1891/9780826131379.0016,0,2016.0,Acquired Brain Injury Rehabilitation: Clinical Essentials,45.41824,10.3109/02699052.2012.661118,5,SILKE BERNERT,
Clients’ perspectives of rehabilitation in one acquired brain injury residential rehabilitation unit: A thematic analysis Ian J. Gill 2012,10.4324/9780429478468-9,0,2018.0,Vocational rehabilitation after acquired brain injury,45.289833,10.3109/02699052.2012.661118,6,Bernie Walsh,
Clients’ perspectives of rehabilitation in one acquired brain injury residential rehabilitation unit: A thematic analysis Ian J. Gill 2012,10.4324/9780429478468-8,0,2018.0,Driving after acquired brain injury: rehabilitation and therapy,44.601833,10.3109/02699052.2012.661118,7,Gavin Newby,
Clients’ perspectives of rehabilitation in one acquired brain injury residential rehabilitation unit: A thematic analysis Ian J. Gill 2012,10.1080/09638288.2017.1280542,0,2018.0,Patient perspectives on navigating the field of traumatic brain injury rehabilitation: a qualitative thematic analysis,44.31143,10.3109/02699052.2012.661118,8,Heidi J. Graff,
Clients’ perspectives of rehabilitation in one acquired brain injury residential rehabilitation unit: A thematic analysis Ian J. Gill 2012,10.4324/9780203712283-4,0,2018.0,"Acquired Brain Injury, Parenting, Social Work, and Rehabilitation: Supporting Parents to Support Their Children",43.53958,10.3109/02699052.2012.661118,9,Mark Holloway,
Clients’ perspectives of rehabilitation in one acquired brain injury residential rehabilitation unit: A thematic analysis Ian J. Gill 2012,10.1007/978-0-387-37575-5_11,0,,Balance and Vestibular Rehabilitation in the Patient with Acquired Brain Injury,43.217068,10.3109/02699052.2012.661118,10,JAMES MEGNA,
Subsequent Pregnancy After Having a Baby Who Was Hospitalized in the NICU Yuki Funaba 2014,10.1097/nmc.0000000000000067,1,2014.0,Subsequent Pregnancy After Having a Baby Who Was Hospitalized in the NICU,70.53075,10.1097/nmc.0000000000000067,1,Yuki Funaba,
Subsequent Pregnancy After Having a Baby Who Was Hospitalized in the NICU Yuki Funaba 2014,10.1542/9781610026673-ch05,0,2023.0,Your Preterm Baby,30.906498,10.1097/nmc.0000000000000067,2,,
Subsequent Pregnancy After Having a Baby Who Was Hospitalized in the NICU Yuki Funaba 2014,10.1542/9781610020497-ch05,0,2016.0,Your Preterm Baby,30.824726,10.1097/nmc.0000000000000067,3,,
Subsequent Pregnancy After Having a Baby Who Was Hospitalized in the NICU Yuki Funaba 2014,10.1542/9781610020497-ch07,0,2016.0,Feeding Your Baby,30.817146,10.1097/nmc.0000000000000067,4,,
Subsequent Pregnancy After Having a Baby Who Was Hospitalized in the NICU Yuki Funaba 2014,10.1542/9781610026673-ch07,0,2023.0,Feeding Your Baby,30.582054,10.1097/nmc.0000000000000067,5,,
Subsequent Pregnancy After Having a Baby Who Was Hospitalized in the NICU Yuki Funaba 2014,10.1542/9781610026673-ch11,0,2023.0,The Loss of Your Baby,30.139492,10.1097/nmc.0000000000000067,6,,
Subsequent Pregnancy After Having a Baby Who Was Hospitalized in the NICU Yuki Funaba 2014,10.1542/9781610020497-ch11,0,2016.0,The Loss of Your Baby,29.986477,10.1097/nmc.0000000000000067,7,,
Subsequent Pregnancy After Having a Baby Who Was Hospitalized in the NICU Yuki Funaba 2014,10.1891/9780826140128.0002,0,2018.0,Supporting High-Risk Pregnancy Bed-Rest Patients and Preparing Them for a Potential NICU Baby,29.227198,10.1097/nmc.0000000000000067,8,,
Subsequent Pregnancy After Having a Baby Who Was Hospitalized in the NICU Yuki Funaba 2014,10.1037/e505762014-019,0,2014.0,Having a baby?,28.1189,10.1097/nmc.0000000000000067,9,Amy Novotney,
Subsequent Pregnancy After Having a Baby Who Was Hospitalized in the NICU Yuki Funaba 2014,10.1186/s12884-021-03947-7,0,2021.0,“What kind of man gets depressed after having a baby?” Fathers’ experiences of mental health during the perinatal period,27.758207,10.1097/nmc.0000000000000067,10,Sarah Hambidge,
Relationship of the preexponential function in the equation of life to the length of the failure crack G. M. Bartenev 1984,10.1007/bf00720965,1,1984.0,Relationship of the preexponential function in the equation of life to the length of the failure crack,74.50372,10.1007/bf00720965,1,G. M. Bartenev,
Relationship of the preexponential function in the equation of life to the length of the failure crack G. M. Bartenev 1984,10.1007/bf00819313,0,1969.0,Integral-equation construction of the green's function for generalized boundary-value problems involving the heat-conduction equation,25.264803,10.1007/bf00720965,2,�. M. Kartashov,
