query,candidate_doi,label,candidate_year,candidate_title,crossref_score,true_doi,candidate_rank,candidate_author,query_author,title_similarity,title_token_set_similarity,query_year,year_difference,first_author_similarity
DIISC-VI (COS-DIISC): Ultraviolet Metal Absorption Relative to the H <scp>i</scp> Disk of Galaxies Brad Koplitz 2025,10.3847/1538-4357/adb8ca,1,2025.0,DIISC-VI (COS-DIISC): Ultraviolet Metal Absorption Relative to the H <scp>i</scp> Disk of Galaxies,115.224724,10.3847/1538-4357/adb8ca,1,Brad Koplitz,,91.58878504672897,100.0,2025.0,0.0,13.33333333333333
DIISC-VI (COS-DIISC): Ultraviolet Metal Absorption Relative to the H <scp>i</scp> Disk of Galaxies Brad Koplitz 2025,10.1111/ssm.18325,0,2026.0,"Measuring scientific classroom discourse: The
                    <i>
                      <scp>DiISC</scp>
                      Version 2.0
                    </i>
                    's validity and use in observing secondary science lessons",38.77932,10.3847/1538-4357/adb8ca,2,Elizabeth Lewis,,37.98449612403101,37.98449612403101,2025.0,1.0,11.111111111111116
DIISC-VI (COS-DIISC): Ultraviolet Metal Absorption Relative to the H <scp>i</scp> Disk of Galaxies Brad Koplitz 2025,10.3847/1538-4357/ad029b,0,2024.0,DIISC-III. Signatures of Stellar Disk Growth in Nearby Galaxies,37.972904,10.3847/1538-4357/adb8ca,3,Mansi Padave,,43.575418994413404,44.6927374301676,2025.0,1.0,26.66666666666667
DIISC-VI (COS-DIISC): Ultraviolet Metal Absorption Relative to the H <scp>i</scp> Disk of Galaxies Brad Koplitz 2025,10.1002/0471684228.egp03494,0,2004.0,"<scp>DNA</scp>
            , Ultraviolet Absorption",36.721592,10.3847/1538-4357/adb8ca,4,,,45.16129032258065,72.1311475409836,2025.0,21.0,100.0
DIISC-VI (COS-DIISC): Ultraviolet Metal Absorption Relative to the H <scp>i</scp> Disk of Galaxies Brad Koplitz 2025,10.1002/9781394438143.ch31,0,2026.0,"Ultraviolet/Visible (
                    <scp>UV</scp>
                    /
                    <scp>VIS</scp>
                    ) Absorption Analyzers",36.314365,10.3847/1538-4357/adb8ca,5,,,46.07329842931938,50.261780104712045,2025.0,1.0,100.0
DIISC-VI (COS-DIISC): Ultraviolet Metal Absorption Relative to the H <scp>i</scp> Disk of Galaxies Brad Koplitz 2025,10.3847/1538-4357/adce7b,0,2025.0,DIISC-V: Variations in H<i>α</i>-to-FUV Star Formation Rate Ratios Across Star-forming Regions in Nearby Galaxies,36.269543,10.3847/1538-4357/adb8ca,6,Mansi Padave,,39.301310043668124,39.823008849557525,2025.0,0.0,26.66666666666667
DIISC-VI (COS-DIISC): Ultraviolet Metal Absorption Relative to the H <scp>i</scp> Disk of Galaxies Brad Koplitz 2025,10.3847/1538-4357/ac2c01,0,2021.0,DIISC-II: Unveiling the Connections between Star Formation and Interstellar Medium in the Extended Ultraviolet Disk of NGC 3344,35.308712,10.3847/1538-4357/adb8ca,7,Mansi Padave,,43.62139917695473,47.69874476987448,2025.0,4.0,26.66666666666667
DIISC-VI (COS-DIISC): Ultraviolet Metal Absorption Relative to the H <scp>i</scp> Disk of Galaxies Brad Koplitz 2025,10.3847/1538-4357/ad8238,0,2024.0,DIISC-IV. DIISCovery of Anomalously Low Metallicity H ii Regions in NGC 99: Indirect Evidence of Gas Inflows,35.295204,10.3847/1538-4357/adb8ca,8,Alejandro J. Olvera,,37.5,38.009049773755656,2025.0,1.0,18.181818181818176
DIISC-VI (COS-DIISC): Ultraviolet Metal Absorption Relative to the H <scp>i</scp> Disk of Galaxies Brad Koplitz 2025,10.3847/1538-4357/ae1b88,0,2026.0,"Kinematics of Circumgalactic O
                    <scp>vi</scp>
                    Gas and Disk Rotation of
                    <i>z</i>
                    ≈ 0.2 Star-forming Galaxies",34.130207,10.3847/1538-4357/adb8ca,9,Stephanie H. Ho,,47.74774774774775,49.31506849315068,2025.0,1.0,22.22222222222222
DIISC-VI (COS-DIISC): Ultraviolet Metal Absorption Relative to the H <scp>i</scp> Disk of Galaxies Brad Koplitz 2025,10.3847/1538-4357/ae11aa,0,2025.0,"H
                    <scp>I</scp>
                    21 cm Absorption Associated with Foreground Galaxies on Top of Quasars",33.831898,10.3847/1538-4357/adb8ca,10,Labanya K. Guha,,49.75124378109452,52.7363184079602,2025.0,0.0,22.22222222222222
